string,sum
000010000010,2
000000010001,2
000000100000,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
001000000000,1
000000010000,1
001001000100,3
000001000000,1
000000100000,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
101000000100,3
000000000000,0
000101000000,2
000000000000,0
000000011000,2
000000001001,2
000000000000,0
100000000000,1
000000001000,1
000000000000,0
000000000000,0
001000000000,1
000100000010,2
000100010000,2
000000000000,0
000100010000,2
000000100000,1
000110000000,2
000000001000,1
000000000010,1
010000000000,1
000000000000,0
000010000000,1
000000000000,0
000010000010,2
000100000000,1
000010000000,1
000000000000,0
101000000000,2
000001000000,1
000000000100,1
000000000010,1
000000000000,0
100010000000,2
000000000000,0
010000100000,2
000000000000,0
100000000000,1
000100000000,1
000000100000,1
000000000000,0
100000000000,1
000000000000,0
000000000010,1
000000000000,0
010001001000,3
000001000000,1
000000000000,0
000000000000,0
000000000010,1
000000000000,0
010000000000,1
000000010000,1
000000000000,0
100000000000,1
100010000000,2
000000000000,0
000001000100,2
000000000000,0
100000000000,1
000100000000,1
000000000010,1
000010000000,1
000010010000,2
000000000000,0
000010000010,2
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000001000000,1
000000000000,0
100000000000,1
000000000000,0
000010000000,1
000110000000,2
010000000010,2
000000000000,0
000100000000,1
010000000000,1
000001000000,1
000000000000,0
000000000010,1
000001000001,2
000000010000,1
100000000000,1
001000000000,1
000000000010,1
000000010100,2
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000010000000,1
000000000000,0
010000000000,1
000000000000,0
000000000100,1
000000000010,1
000000000000,0
000101010000,3
000000010001,2
100000000000,1
000000000000,0
000000001000,1
001000000000,1
010000001000,2
000010001000,2
110000000001,3
000000000000,0
000000000000,0
001000000000,1
011000000001,3
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000001100000,2
000000000000,0
000000000001,1
010000000000,1
000000000010,1
000000000000,0
001000000100,2
000010000001,2
000010000001,2
001000000000,1
001001000010,3
010000001010,3
001000010000,2
010000000000,1
000000000010,1
000000000100,1
000000100000,1
000000001000,1
000000001000,1
001000000000,1
000000001001,2
000000000000,0
000100000000,1
000000010010,2
000000000000,0
000000000000,0
001000000100,2
000000000000,0
000000000000,0
000010000000,1
100000000010,2
000000000000,0
000000000000,0
000000000010,1
000010100000,2
000000000110,2
000010000000,1
101000000000,2
000001000000,1
001000000001,2
000000001000,1
000100000000,1
000000001000,1
000001000000,1
001000000000,1
000100000000,1
100001010000,3
000000001000,1
000000000100,1
000000000000,0
000000000000,0
000010000000,1
000010010001,3
100000110000,3
000100000000,1
000000011000,2
000000000000,0
000000000000,0
000010000000,1
000000000000,0
000000000111,3
000100000000,1
000000000000,0
000000000000,0
100100101000,4
000000110000,2
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000010000,1
001000000000,1
000000000000,0
100000000000,1
100000000000,1
000000000000,0
000001000100,2
001000000000,1
000100000000,1
000000000000,0
000000000000,0
001000100000,2
000000000000,0
000000000000,0
000100000000,1
000000000000,0
010010100000,3
000000000000,0
000000000000,0
000000110001,3
010000010001,3
000001000010,2
000000001000,1
000000000000,0
000000000000,0
000000000100,1
000000000000,0
000000000001,1
000000000000,0
000000000000,0
010000000100,2
000000000000,0
000000000000,0
000000100000,1
010000000001,2
000000000001,1
000001000001,2
000000001000,1
000000000000,0
000000000001,1
000000000000,0
000001000000,1
000000000000,0
000000000000,0
100000000110,3
000000000000,0
010000000010,2
000000000000,0
000101000000,2
000000000000,0
000010000001,2
100000010000,2
000000000000,0
001000100000,2
000001000000,1
000000010100,2
000100000100,2
000000000000,0
000100000000,1
000000000000,0
000000001000,1
000000000000,0
001000000000,1
000000001000,1
100000000000,1
000000000000,0
001100100000,3
001000000000,1
010000000000,1
000000001010,2
000000000000,0
000010000000,1
000000000000,0
000000000000,0
001001000000,2
000000000000,0
000000000000,0
010000000000,1
001000000000,1
000000000010,1
100000000000,1
001000000000,1
000011000000,2
000000000000,0
000010000000,1
000000000001,1
000000100000,1
000000000000,0
000000100000,1
000000000000,0
100000000000,1
000011000010,3
000000000000,0
010100000100,3
000000001000,1
000000000100,1
000000001000,1
000000000000,0
010000000000,1
000000100100,2
000000100000,1
000100000000,1
010010000100,3
000100000000,1
000000101000,2
000010000100,2
000000000000,0
000110000010,3
000000001000,1
000001010001,3
000100000000,1
000000000000,0
000100001000,2
001000000000,1
001010000000,2
000000010000,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000010,1
000000000000,0
000000110010,3
000000000000,0
000000000011,2
000100000000,1
001000000000,1
001001100000,3
010000000100,2
000000000000,0
010100011000,4
000000000000,0
000100000000,1
100000000000,1
100000000000,1
000000010000,1
000000000000,0
000001000001,2
001000000000,1
000000001100,2
000001000000,1
000000000000,0
000000010000,1
000001000000,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000100,1
000000000000,0
000001010000,2
000000100100,2
000000000000,0
000000000000,0
000001110010,4
000000000000,0
000000000001,1
000000000100,1
000000000100,1
000000000000,0
000000000000,0
000000000001,1
000000001100,2
000000000000,0
000000000110,2
000000000010,1
000000000000,0
100000000000,1
000000000000,0
000000010000,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000010001,2
000100000001,2
100000000000,1
000000000000,0
000010100000,2
000000000000,0
000000000000,0
000001001000,2
100000000000,1
000000000000,0
000001000000,1
000000000000,0
000001000000,1
000000001000,1
000010000100,2
000000100000,1
001000000000,1
000100000000,1
000000000000,0
000000100000,1
000000000000,0
000100000000,1
001000000000,1
000000000000,0
100000000000,1
001000000010,2
000000000000,0
000001000000,1
000001100001,3
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
001010000000,2
100000000000,1
100010000100,3
000000010101,3
001011000000,3
000000000000,0
001000000000,1
010000000000,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
100000000000,1
000100000000,1
010000000000,1
000000100000,1
000000000000,0
000000000000,0
110010000000,3
000010000000,1
001000000000,1
000000000000,0
100000000000,1
100000000000,1
000000000000,0
001000000000,1
000000000000,0
000100000000,1
001000000000,1
000000000000,0
000000000000,0
000000000000,0
000000010000,1
000000000000,0
000010100100,3
000000000000,0
000100000000,1
000000010000,1
000000000000,0
110000000000,2
000000000000,0
100000000000,1
100000000000,1
000000010000,1
100000000010,2
000000000100,1
000000000000,0
010100100000,3
000000100000,1
000000000000,0
001000010100,3
000000000100,1
000000000000,0
001000000000,1
000000000000,0
000000000000,0
000000000010,1
000000100000,1
000000001001,2
100000000000,1
000000000000,0
000000001010,2
000000000000,0
000000000001,1
100010000000,2
000000000000,0
000100000000,1
000011000001,3
000000000000,0
100001000000,2
010010000000,2
000100000000,1
000000000000,0
000101000000,2
000100000000,1
000000000000,0
000000100101,3
000001000010,2
000000100000,1
000000000010,1
000000010000,1
100010000000,2
000000100010,2
100000010000,2
000010000000,1
000000000000,0
000000001000,1
000100010000,2
010000100010,3
000000001000,1
000000000001,1
010000000000,1
000000000100,1
000000000000,0
000000000000,0
000000100000,1
000000001000,1
100000000000,1
000000000000,0
000000010000,1
000000000001,1
000000000100,1
000000100000,1
000001000101,3
000000010001,2
000000010000,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
001000000001,2
000000000000,0
000000000000,0
000000000000,0
010000000000,1
000001000010,2
010010000000,2
000010000000,1
000000000000,0
000000000010,1
000000100000,1
000000110000,2
100000000000,1
000000001100,2
010000010000,2
000000000000,0
000001000110,3
000000000000,0
000000100000,1
000000000000,0
000010000000,1
000000000000,0
000000000000,0
000000101010,3
000000000000,0
000000000000,0
001001000000,2
000001010000,2
000000000000,0
010000000000,1
010010000000,2
000000001000,1
000000000000,0
000000000000,0
000101000000,2
000001000000,1
000000010000,1
000010000000,1
000000000000,0
000000000000,0
000000000000,0
000010000000,1
000000010000,1
000000000000,0
000000000000,0
000100000000,1
000000000000,0
000000001010,2
000100010000,2
000000000001,1
000000010000,1
000000001000,1
001000010000,2
000001100000,2
000000000010,1
000000000010,1
000000000000,0
000001000000,1
001000000000,1
001010000000,2
000001000111,4
000001000000,1
000000000000,0
000000000000,0
000010000001,2
100000000000,1
000000000000,0
101001000000,3
000000000000,0
000000000000,0
000000010000,1
000000011010,3
000000100000,1
101000000000,2
100000000000,1
011000000100,3
000100000000,1
000110000010,3
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000010000000,1
000000000000,0
000000000000,0
000000000001,1
010100000000,2
000010000000,1
000000000001,1
100000000000,1
000000000010,1
000000000000,0
000000000000,0
000000000100,1
000000000000,0
010000000101,3
010000010000,2
000000000000,0
000000000001,1
000000000000,0
000000000001,1
000011000100,3
000000000000,0
000000000000,0
000000000100,1
000100000000,1
000000000000,0
100000000000,1
000000000000,0
000000000000,0
010000001000,2
000000000000,0
000000001000,1
000000000000,0
100000000000,1
000000000000,0
101010000000,3
000000001000,1
000000000000,0
000000000000,0
000010000100,2
000000000100,1
000000000000,0
010000000000,1
000000000000,0
000000000001,1
000000000000,0
100000000000,1
000100000000,1
001000000000,1
000000000000,0
000000100000,1
001100001010,4
000000000000,0
000000000010,1
100000100000,2
001010000100,3
000000110000,2
100000000001,2
000000000000,0
000000000000,0
000000000000,0
000000100000,1
000011100000,3
000000000000,0
110000000010,3
000000000000,0
000000000000,0
000010000100,2
010000000001,2
000000000100,1
000000001000,1
010100000000,2
000000000100,1
000000000000,0
000010000000,1
011000000000,2
000000000000,0
000000100000,1
000000000000,0
000000000000,0
010000000000,1
010000000000,1
011000000010,3
000000010000,1
000001000000,1
000000000101,2
000000000000,0
000000000000,0
000000000001,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
001000000000,1
000000000000,0
000000000000,0
000000000000,0
001000000100,2
000000000000,0
000000000000,0
000000000000,0
000000010000,1
000000000000,0
000000000000,0
001000000000,1
000000000000,0
000000011000,2
000010000000,1
001000000010,2
001000000000,1
000000001000,1
000000100000,1
000000000100,1
000000000000,0
000110000000,2
000000000100,1
000000000000,0
000000010000,1
000100000000,1
000000100000,1
000000000000,0
000000000000,0
000000000000,0
001000100001,3
000110100000,3
000000000000,0
000010000000,1
000000000000,0
100000000010,2
010000100000,2
000000000010,1
000000000000,0
000000010000,1
000000000000,0
000001000000,1
100000000000,1
000100000000,1
000000100000,1
000100000000,1
000000000000,0
010000000000,1
000000000001,1
100000000000,1
000000000100,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
001010000000,2
000000000000,0
001001000001,3
000000000000,0
100000010000,2
000001000000,1
010000000000,1
000000000010,1
000000000000,0
001000010000,2
000000100000,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
001000011000,3
100000000010,2
010000000000,1
100000000000,1
000000000000,0
000000000000,0
000100000000,1
000000100000,1
000001000000,1
000000000000,0
000000000000,0
000010000000,1
000010100000,2
000001000000,1
000000000000,0
000000000000,0
000000001100,2
001000010000,2
000001000010,2
000000000000,0
000000110000,2
000000000000,0
000000000000,0
000000000010,1
000010000000,1
000000100000,1
001001000100,3
000000000001,1
000000000100,1
000000000000,0
000000000010,1
000000000000,0
000000000000,0
000000000000,0
000001000000,1
000000000000,0
000001000000,1
010000000000,1
010000000100,2
100000000001,2
000000101100,3
000000001000,1
000000000000,0
000000000000,0
001000000010,2
000000000000,0
000000000100,1
000000000000,0
001010000010,3
000000000000,0
010000010000,2
000000000000,0
110000000000,2
000000000000,0
000000000100,1
000000100010,2
000000000000,0
000000010010,2
000000000000,0
000000100000,1
000100000000,1
000100001000,2
000000000010,1
000000000000,0
000000000000,0
000010000000,1
000000000000,0
000000000000,0
000000000110,2
000000000000,0
000010000000,1
000000000100,1
000101000000,2
100010000100,3
000000000000,0
000000000000,0
000000000001,1
000000001000,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
110000010100,4
000000000000,0
000000010000,1
000010100100,3
000000000001,1
000010000000,1
000000000000,0
000100000000,1
000000000000,0
000100000000,1
000001000000,1
000000000000,0
001000000000,1
000100000000,1
000000000000,0
001000000000,1
000000000000,0
000000000000,0
000010010000,2
000000000100,1
001000000000,1
000000000000,0
000000010000,1
000110000000,2
000000100000,1
000000000000,0
000000000010,1
000000000000,0
001000000001,2
100000000100,2
000000000001,1
000000010000,1
100000000000,1
000000000000,0
000010000000,1
000000001001,2
000000000000,0
000000000000,0
000000001000,1
000000000000,0
100000000000,1
000000000000,0
000000000000,0
100000000000,1
000110000001,3
000000000000,0
000000000000,0
100000000000,1
000000000000,0
100000000000,1
000100101100,4
001000001000,2
000000000000,0
000000000000,0
010000000000,1
000001000010,2
111010000000,4
000001001001,3
000000000000,0
000000100000,1
000000000000,0
000000001001,2
010000000000,1
010000000000,1
010000000000,1
000000000000,0
000000001000,1
110000000000,2
000000000000,0
000000000000,0
000000001000,1
000010000000,1
000000000000,0
000000000001,1
000100000000,1
000000001000,1
001000010000,2
001000000001,2
000000000000,0
000010000000,1
000000000000,0
000001100000,2
000000000000,0
000010010000,2
001000010000,2
000000000100,1
000000001100,2
000000001000,1
000000010000,1
000110000000,2
000100000000,1
000110000000,2
000001000000,1
000000010000,1
000000001000,1
000000000000,0
000100000000,1
000000000000,0
000000000010,1
001000000001,2
101000000000,2
000000000000,0
000010000100,2
000000000000,0
000000010000,1
000000010000,1
000000000000,0
000000000001,1
000000010000,1
000100000000,1
000000000000,0
100000000000,1
100100000100,3
010010000000,2
000010000000,1
000000000000,0
000000000000,0
000000000000,0
010000000000,1
000010000000,1
000100001000,2
100000000000,1
100000000000,1
000000000001,1
000000000000,0
000000000000,0
000000100000,1
000000010000,1
000000000000,0
000000000000,0
000000110001,3
000000010000,1
000000101000,2
000000000010,1
000000010000,1
000000000000,0
000000000000,0
000000000000,0
100000100000,2
000000000000,0
000010000000,1
001000000000,1
000000000001,1
101000000000,2
000100000000,1
001100000000,2
000000000000,0
000010000001,2
000000000000,0
000010000000,1
000100000000,1
100000000010,2
000000000000,0
000000000000,0
000010100000,2
000100000000,1
000000000000,0
000000100010,2
001000000001,2
010001000100,3
000000000000,0
000000000000,0
000000000100,1
000000000000,0
000000000000,0
000000000001,1
000000001001,2
000010000000,1
000010010100,3
000000010000,1
000110001001,4
000000000000,0
000100000000,1
000001000000,1
000000011000,2
000000001000,1
010000000000,1
000100000000,1
000000000001,1
001000000000,1
000000000000,0
000001000010,2
000010000000,1
000001001000,2
100100110000,4
000000000001,1
000000000000,0
001000000000,1
000000000000,0
000000000010,1
001000100000,2
000000000000,0
000010000000,1
000000001000,1
000000001000,1
000000000000,0
010000000000,1
000000000000,0
000000000001,1
000000101010,3
000000010001,2
000000000100,1
010000100000,2
000000000000,0
000100000000,1
000000000000,0
000001001000,2
000000010100,2
000001000100,2
001000000000,1
000000000000,0
000000000001,1
000000000000,0
110000000010,3
000000000000,0
100000000000,1
000000000000,0
000000100000,1
000001000100,2
000001000000,1
000000000010,1
001000000000,1
000000000000,0
100000001000,2
000000000000,0
010000000110,3
010000000000,1
000000001010,2
000000001010,2
000000100000,1
000010000000,1
001000000000,1
000000000000,0
100000000000,1
000000000000,0
000000000000,0
000000000000,0
000000000100,1
000000000110,2
000000000000,0
000100000000,1
000000000001,1
000000000000,0
000000000010,1
000001000001,2
000000100000,1
010001000000,2
000000000000,0
000000000100,1
000000000000,0
000000000000,0
000000000000,0
000000000100,1
000100100000,2
000000000000,0
001000000110,3
000000000000,0
000000000000,0
000001000000,1
000000000000,0
000000000000,0
010000000000,1
000000110000,2
000010000000,1
000000000000,0
000000010100,2
000100100100,3
000000001100,2
001000000000,1
000000000000,0
000000100000,1
100001000000,2
010000000000,1
000100000000,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
001000000001,2
000010000000,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000001000000,1
000100000000,1
000001100000,2
001000000000,1
100001000100,3
000000000000,0
100000000000,1
100000000000,1
000000000000,0
100000000010,2
000100000000,1
010000010000,2
000000000000,0
000000000000,0
000000000000,0
000000000000,0
011000000010,3
000000000000,0
000000000000,0
000000000000,0
000000000000,0
100000000000,1
000000000000,0
000000000000,0
000000000000,0
100011000000,3
000000000000,0
000000100000,1
000010000000,1
000001010000,2
010000000010,2
100000000000,1
000000000000,0
001100001000,3
000010000100,2
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000100000000,1
010010001001,4
000000000001,1
100000000000,1
000000010010,2
000000000000,0
000001000000,1
000000000000,0
000000000000,0
000000000001,1
000000000000,0
000110000000,2
000000000100,1
000010000000,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000001000000,1
010000000010,2
000100000000,1
000001000000,1
000000100000,1
001000000000,1
000001001001,3
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000010,1
000101100000,3
000010000001,2
000000000000,0
000010000000,1
000000000000,0
000000000011,2
000000001000,1
000000000010,1
001000000001,2
000001100000,2
000000000000,0
000000000000,0
000010000000,1
000000000010,1
000000000000,0
000000000100,1
000000100010,2
000000010010,2
000100000100,2
000000000000,0
000000000000,0
001000000000,1
000100001000,2
000000000000,0
000000000001,1
000000000000,0
100011000000,3
100000001000,2
000000000000,0
000010100000,2
100000000000,1
000010000000,1
000000000000,0
000000000000,0
000000000001,1
000000100000,1
000000000000,0
100000000000,1
000100000000,1
000000000000,0
100000000000,1
000000000000,0
000000000000,0
000000000000,0
000010000000,1
000000000010,1
000000000000,0
000010000000,1
000000001000,1
000100000000,1
000000010001,2
100000000000,1
000000100010,2
000000000101,2
000000000000,0
100000000001,2
000000000000,0
000000000000,0
000000001000,1
000000000001,1
000000000000,0
001000000000,1
000001000000,1
000000000000,0
000000000000,0
001000000010,2
000001000000,1
000000001000,1
010000000000,1
000000000000,0
000100100000,2
000000100000,1
000000000011,2
000000000000,0
000000000000,0
000000000000,0
000001100000,2
000000000000,0
000100000000,1
000000000000,0
100000000000,1
000001000010,2
001000000000,1
100000010000,2
000000000000,0
000000000000,0
000100000010,2
000000000000,0
000000000100,1
000001000000,1
000110000000,2
001000010000,2
000010000000,1
000000000000,0
000000000000,0
000010000000,1
001001101000,4
000010000001,2
000010000000,1
000000000000,0
000000000000,0
001000011000,3
010000110000,3
010000000000,1
000000000000,0
000000000000,0
000000100100,2
000000000000,0
000000000000,0
000000000000,0
010000000000,1
000010000100,2
000000000000,0
000000000100,1
000000000000,0
000000000000,0
000000000000,0
000000000000,0
000000000000,0
010000000000,1
100000000000,1
000100100000,2
000000000000,0
000100100000,2
000000000010,1
001000000000,1
000000000000,0
000000000100,1
000000000000,0
100000000000,1
000000000000,0
100000000000,1
000000000000,0
000000000000,0
000000010110,3
000000000000,0
000000000000,0
100000000001,2
010000000000,1
000000000000,0
000001000000,1
010000000100,2
000000000010,1
000100000000,1
110000000000,2
000000001000,1
000000000000,0
001001000000,2
100000000100,2
000000000100,1
010000000000,1
000000000000,0
000000000000,0
000000000000,0
000000010000,1
010000000000,1
000000000000,0
000000010000,1
000000000000,0
000010010010,3
101000000000,2
000000000000,0
110101000100,5
000000000000,0
001000000000,1
001000000100,2
000001000000,1
000000000010,1
100000000000,1
000000100000,1
000000000000,0
000000000000,0
101010001000,4
001000000000,1
000000000100,1
010000000000,1
000001000000,1
000010000000,1
100000000000,1
000000000000,0
000000000000,0
000000000010,1
000000000000,0
000000000000,0
000000010000,1
000000001000,1
000000000000,0
000000000000,0
000000001000,1
000000000000,0
000000010010,2
000001001010,3
000010001000,2
000010000000,1
000000000100,1
000000000000,0
000000010000,1
000011100000,3
010010000000,2
000000000000,0
000000000000,0
000000000000,0
000100000000,1
100100111000,5
000000010000,1
000000000000,0
000000011000,2
000000000000,0
101010000000,3
000001010000,2
000000000000,0
000000000000,0
010000000000,1
010000100000,2
000001000000,1
000000100000,1
010000000000,1
000000101000,2
000100100100,3
100000000000,1
000000010000,1
000000100001,2
000100000000,1
000001000000,1
000000000000,0
000000000000,0
000000000001,1
000000010000,1
110011000000,4
000000100000,1
100110000000,3
000000000000,0
000000000000,0
000100000000,1
000000100000,1
000000000000,0
000000000000,0
000000010000,1
000000010000,1
010000000010,2
001000010000,2
001001001000,3
000000000000,0
000000000000,0
000000000000,0
000000100000,1
000000000011,2
001000100000,2
100000000000,1
